#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
803,Stimulator Pale Ale,Pateros Creek Brewing Company,"Fort Collins, CO",American Pale Ale (APA),16 oz.,5.30%,48,Ale
804,Stout Ol' Friend,Revolution Brewing,"Paonia, CO",American Stout,16 oz.,6.40%,N/A,Stout
805,Stowaway IPA,Baxter Brewing Company,"Lewiston, ME",American IPA,12 oz.,6.90%,69,IPA
806,Summer Honey,Big Sky Brewing Company,"Missoula, MT",American Blonde Ale,12 oz.,4.70%,N/A,Ale
807,Summer of Lager,Cisco Brewers,"Nantucket, MA",Munich Helles Lager,12 oz.,6.20%,N/A,Lager
808,Summer Solstice Cerveza Crema,Anderson Valley Brewing Company,"Boonville, CA",Cream Ale,12 oz.,5.60%,4,Ale
809,Summer Solstice Cerveza Crema (2009),Anderson Valley Brewing Company,"Boonville, CA",Cream Ale,12 oz.,5.60%,4,Ale
810,SummerBright Ale,Breckenridge Brewery,"Denver, CO",American Pale Wheat Ale,12 oz.,4.50%,15,Ale
811,Summertime Ale,Crystal Springs Brewing Company,"Boulder, CO",Kölsch,16 oz.,5.20%,23,Other
812,Sun King Oktoberfest (2011),Sun King Brewing Company,"Indianapolis, IN",Märzen / Oktoberfest,16 oz.,5.50%,23,Other
813,Sun King Oktoberfest,Sun King Brewing Company,"Indianapolis, IN",Märzen / Oktoberfest,16 oz.,5.50%,23,Other
814,Sunbru Kölsch,Four Peaks Brewing Company,"Tempe, AZ",Kölsch,12 oz.,5.20%,N/A,Other
815,Sunken Island IPA,Kenai River Brewing Company,"Soldotna, AK",American IPA,12 oz.,6.80%,N/A,IPA
816,Sunlight Cream Ale,Sun King Brewing Company,"Indianapolis, IN",Cream Ale,16 oz.,5.30%,20,Ale
817,Sunny Haze,Mother Earth Brewing Company,"Kinston, NC",Hefeweizen,12 oz.,5%,N/A,Other
818,Sunrise Oatmeal Pale Ale,Fort George Brewery,"Astoria, OR",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
819,Sunshine Wheat Beer,New Belgium Brewing Company,"Fort Collins, CO",American Pale Wheat Ale,12 oz.,4.80%,N/A,Ale
820,Sunsplash Golden Ale (2004),Stone Coast Brewing Company,"Portland, ME",American Blonde Ale,12 oz.,4.50%,N/A,Ale
821,Supper Club Lager,Capital Brewery,"Middleton, WI",American Pale Lager,12 oz.,???,N/A,Lager
822,SurlyFest,Surly Brewing Company,"Brooklyn Center, MN",Rye Beer,16 oz.,5.50%,34,Other
823,Suzy B Blonde Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Blonde Ale,16 oz.,???,N/A,Ale
824,Sweet Action,Sixpoint Craft Ales,"Brooklyn, NY",Cream Ale,16 oz.,5.20%,34,Ale
825,Sweet As Pacific Ale,Good Life Brewing Company,"Bend, OR",American Pale Wheat Ale,12 oz.,6%,18,Ale
826,Sweet Georgia Brown,Monkey Paw Pub & Brewery,"San Diego, CA",American Brown Ale,16 oz.,5.40%,N/A,Ale
827,Sympathy for the Lager,Karbach Brewing Company,"Houston, TX",American Amber / Red Lager,12 oz.,4.90%,45,Lager
828,T-6 Red Ale (2004),Warbird Brewing Company,"Fort Wayne, IN",American Amber / Red Ale,12 oz.,4.70%,N/A,Ale
829,T-Rail Pale Ale,Old Forge Brewing Company,"Danville, PA",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
830,TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Hefeweizen,12 oz.,4.90%,28,Other
831,TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Hefeweizen,24 oz.,4.90%,28,Other
832,TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,12 oz.,5%,44,IPA
833,TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,24 oz.,5%,44,IPA
834,TailGate Saison,TailGate Beer,"San Diego, CA",Saison / Farmhouse Ale,12 oz.,5%,N/A,Ale
835,Tallgrass Ale,Tallgrass Brewing Company,"Manhattan, KS",American Brown Ale,16 oz.,4.40%,22,Ale
836,Tallgrass IPA,Tallgrass Brewing Company,"Manhattan, KS",American IPA,16 oz.,6.30%,60,IPA
837,Tallgrass Pub Ale,Tallgrass Brewing Company,"Manhattan, KS",American Brown Ale,16 oz.,4.40%,12,Ale
838,Tampa Pale Ale,Brindle Dog Brewing Company,"Tampa Bay, FL",American Pale Ale (APA),12 oz.,???,N/A,Ale
839,Tart Side of the Moon,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,9.80%,N/A,Ale
